"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
580.7,-0.1466,6.112,1.629,4.95,-0.579,-0.7033,1.37,-0.5999,3.018,15.32,-4.684,-1.842,-4.073,0.238,5.111,10.61,1.644,13.41,15.54,12.64,14.89,13.93,14.8,14.99,16.1,16.48,0.8537
597.2,-0.3297,4.76,5.503,4.85,-0.7566,-0.6929,2.179,-1.339,0.3507,14.73,-4.742,-1.095,-4.073,0.2272,4.911,14.73,1.599,13,14.82,15.46,14.1,13.67,14.8,16.07,14.88,16.36,1.078
563,-0.03859,3.425,4.786,4.903,-0.4974,-0.4749,2.284,-0.8243,1.528,14.15,-4.835,-2.228,-4.088,0.04631,5.366,11.16,0.6024,12.75,14.54,15.26,14.54,13.67,13.76,14.46,14.98,15.32,0.7619
554.2,0.08929,5.717,3.975,4.857,-0.4974,-0.8107,4.194,0.24,1.105,14.02,-4.599,-2.051,-3.918,0.02092,5.843,11.79,1.775,13.16,14.3,15.26,14.63,11.77,13.22,14.52,13.12,16.03,1.029
563.4,0.01666,4.486,3.185,4.813,-0.5553,-0.8249,2.819,-3.208,3.33,13.97,-5.103,-2.657,-3.69,0.03368,5.717,14.7,1.889,12.91,15.95,13.44,17.04,11.77,13.22,13.29,11.8,14.66,2.608
600.4,-0.2778,2.908,5.63,4.953,-0.4536,-0.8482,3.601,0.8172,1.342,12.81,-5.122,-2.114,-3.503,0.4669,5.426,-1.452,2.375,12.99,14.59,18.99,17.04,13.63,18.21,16.37,11.12,14.37,4.046
573.3,0.04116,3.926,2.526,4.924,-0.8588,-0.9563,1.882,0.907,0.7096,15.64,-5.081,-2.234,-3.402,0.5689,4.551,-2.486,2.643,13,14.85,19.79,23.97,15.31,19.05,14.84,9.243,15.18,4.736
556.8,-0.05455,3.857,4.153,4.965,-0.4071,-0.6049,1.974,0.9278,1.064,16.96,-4.566,-1.928,-3.549,0.7021,4.449,5.983,2.39,12.89,15,21.99,19.56,15.68,13.81,13.03,10.08,14.41,3.851
594,-0.08161,7.478,3.317,4.885,-0.8952,-1.013,3.795,-3.865,0.6827,12.81,-4.883,-2.062,-3.3,1.062,5.776,11.65,2.588,12.54,15.3,13.58,19.85,14.67,13.97,12.59,8.781,14.91,2.819
597,-0.1195,5.009,4.325,4.944,-0.8439,-0.8038,0.6279,-1.319,0.2287,14.61,-3.84,-2.177,-3.236,1.069,6.341,4.293,2.828,11.55,15.2,16.56,21.52,14.09,15.9,15.78,9.922,15.34,2.867
571.9,-0.1264,5.094,3.97,4.988,-0.5371,-0.6963,1.706,-2.196,1.891,16.25,-4.519,-1.888,-3.444,0.9323,6.086,2.464,3.489,11.44,14.63,6.576,19.79,15.73,23.28,15.01,9.091,15.02,4.517
585.7,-0.2683,3.962,3.402,4.973,-0.6943,-0.6976,3.195,-0.3559,1.841,14.5,-4.863,-1.787,-3.48,1.05,6.721,12.38,3.214,12.21,15.36,9.89,19.61,14.19,18.34,12.57,7.645,16.25,3.67
568.2,-0.1904,3.929,3.18,4.967,-0.3331,-0.6151,1.527,-1.675,0.3902,14.52,-4.579,-1.757,-3.585,0.9745,6.597,5.894,4.197,12.67,14.08,8.15,21.98,15.6,9.372,11.04,7.234,15.7,3.923
581.6,-0.1785,5.822,4.677,4.928,-0.4309,-0.9502,1.593,-1.739,0.7196,14.04,-3.649,-0.9167,-3.703,0.6099,7.228,-0.4517,4.147,13.32,16.02,17.39,17.34,15.64,15.55,15.86,7.213,15.82,3.96
590.4,-0.2066,3.912,4.31,4.922,-0.7635,-0.912,3.877,-1.282,2.087,14.34,-3.842,-0.5705,-3.798,0.566,7.654,-5.277,4.372,13.25,17.37,14.07,21.24,16.63,11.18,18.36,6.165,15.27,4.005
588.5,-0.252,5.818,4.113,4.962,-0.6199,-0.7791,2.644,1.723,3.494,14.33,-3.785,-0.3959,-3.874,0.806,7.428,6.108,4.155,12.96,15.46,11.66,17.92,17.22,17.11,20.71,6.67,15.66,2.296
582.9,-0.2879,4.283,2.325,4.989,-0.4075,-0.6774,3.145,-3.243,3.103,18.31,-4.643,0.1745,-3.85,0.9749,6.918,0.225,4.645,12.45,12.61,15.35,16.33,18.31,21.08,24.06,8.457,17.17,3.263
577.3,-0.07128,4.825,4.583,4.962,-0.7631,-0.9053,3.409,0.4473,3.036,18.34,-4.658,-0.5716,-3.849,1.031,6.901,-0.3763,4.652,12.81,17.29,12.01,17.66,19.19,21.23,20.78,8.606,16.88,4.803
576.2,-0.09191,3.781,3.621,4.962,-0.4561,-0.7584,1.972,-0.2706,2.974,18.33,-5.324,-0.6347,-3.733,0.7334,7.715,-7.103,3.276,13.4,18.64,16.9,18.66,17.33,18.46,22.93,10.6,17.42,3.316
584.2,-0.2569,3.764,3.255,4.933,-0.5349,-0.6286,1.906,-0.464,1.416,16.93,-4.958,-0.7524,-3.689,1.513,7.342,-9.06,2.761,13.79,19.96,19.83,21.98,12.11,19.24,19.42,11.74,17.74,3.729
590.2,-0.2207,2.684,3.143,4.969,-0.5916,-0.757,4.622,1.799,0.4856,18.72,-5.034,-0.5844,-3.543,1.534,7.797,-10.13,4.028,15.76,22.06,21.61,21.97,12.52,21.75,26.78,12.41,18.93,3.644
594.4,-0.1484,4.068,4.475,4.623,-0.7211,-0.9642,2.662,-1.94,1.666,17.62,-4.548,-0.7154,-3.464,1.293,7.299,-15.63,4.946,15.74,23.27,17.87,22.21,13.82,21.36,23.53,13.59,19.31,4.217
603.1,-0.3264,4.828,6.406,4.895,-0.4295,-0.8841,1.222,0.1649,2.623,17.44,-4.588,-0.1498,-3.682,0.1917,8.461,-12.08,5.166,15.9,24.63,16.16,18.58,13.74,15.9,24.35,13.87,19.59,4.419
577.2,-0.1416,5.064,4.587,4.867,-0.7285,-0.5177,3.657,2.377,1.339,16.55,-4.416,0.7984,-3.711,0.5878,9.195,-4.112,4.466,16.02,24.98,20.66,17.13,8.288,17.79,26.86,14.95,19.88,4.9
582.5,-0.2504,5.073,4.091,4.815,-0.5894,-0.4547,2.435,-1.419,1.412,18.54,-3.715,0.7038,-3.403,0.8667,9.725,6.543,4.506,16.79,24.67,15.03,15.62,8.338,18.88,24.36,18.09,20.38,4.004
599.7,-0.3846,2.544,3.375,4.866,-0.3285,-0.8039,2.598,-1.15,2.637,16.76,-3.855,0.07992,-3.416,0.7482,9.778,-0.09359,5.419,17.02,22.34,16.27,18.46,11.11,19.83,19.1,15.58,19.2,3.083
588,-0.3169,4.035,3.518,4.983,-0.5941,-0.6078,4.623,-2.997,0.9482,15.95,-3.239,0.1697,-3.315,0.01977,9.927,-6.568,5.451,15.78,19.22,18.45,24.79,11.11,9.772,23.84,15.33,18.71,4.845
592.9,-0.3641,3.971,2.613,4.846,-0.4136,-0.5628,1.296,-0.7192,1.467,19.15,-2.96,0.3609,-3.158,0.06833,9.697,-4.563,5.79,15.06,20.76,19.6,17.6,14.31,25.19,22.98,16.27,18.76,4.251
599.6,-0.3468,4.259,2.651,4.854,-0.6903,-0.7509,2.191,1.795,0.4612,19.84,-2.965,0.5497,-3.113,0.5735,9.767,4.949,6.941,14.89,20.27,21.91,17.6,14.55,24.33,26.41,15.81,18.54,3.649
588.8,-0.3278,3.295,3.304,4.843,-0.3987,-0.5462,3.773,-1.116,2.2,19.4,-2.661,0.1039,-3.082,0.5735,10.29,3.859,7.075,15.76,19.22,21.24,17.6,11.54,20.02,22.25,16.22,19.42,4.892
601.4,-0.3198,3.431,2.777,4.961,-0.6346,-0.8022,3.286,0.05099,2.002,18.41,-2.562,-0.2449,-2.829,0.6787,10.45,-13.19,6.804,16.23,18.69,15.81,20.38,12.58,25.04,22.62,15.58,19.4,3.278
580.9,-0.2311,3.26,4.153,4.887,-0.4312,-0.5277,2.718,-2.728,2.065,19.01,-2.844,-0.9196,-3.05,0.7667,9.916,-7.463,6.875,16.18,19.31,17.56,19.62,15.1,19.67,22.24,18.68,20.19,2.194
581.7,-0.2131,3.29,4.289,4.955,-0.4074,-0.5908,2.216,1.627,1.45,18.16,-2.802,-1.085,-3.173,1.079,9.641,-15.05,6.798,17.61,20.14,18.97,17.84,15.1,12.68,20.35,19.77,19.61,3.815
585.7,-0.3365,6.38,3.65,4.811,-0.1942,-0.4211,1.51,0.004505,2.797,18.34,-3.058,-1.934,-3.52,1.115,8.489,-20.5,6.737,17.73,21.04,17.68,20.63,14.81,20.81,17.81,19.6,20.15,2.304
567.9,-0.02764,3.714,5.204,4.994,-0.6643,-0.837,4.16,-0.6088,3.78,17.93,-3.233,-2.087,-3.687,1.479,7.642,-18.23,7.003,16.37,19.84,17.68,21.39,15.75,18.43,17.85,20.27,19.66,1.053
583.1,-0.1931,3.319,4.508,5,-0.5813,-0.9078,2.423,-0.2415,3.685,19.3,-3.886,-2.628,-3.642,1.481,8.106,-3.253,6.641,15.08,20.1,20.7,20.99,16.61,18.29,19.21,19.39,20.27,1.851
558,0.09084,4.667,3.46,4.971,-0.6264,-0.9375,2.294,-1.035,1.59,21.33,-3.778,-2.287,-3.934,1.505,7.172,-7.363,5.397,15.82,21.99,16.17,23.15,15.81,18.8,18.52,17.05,20.9,4.045
592,-0.2749,4.703,3.329,4.994,-0.6264,-0.854,1.833,-1.78,1.522,19.22,-4.576,-2.02,-3.669,1.424,7.263,-1.001,4.863,15.57,20.86,19.38,19.94,17.58,18.5,18.28,18.24,20.73,2.373
591,-0.2212,4.182,3.395,4.936,-0.6594,-0.854,2.055,-0.4107,0.004591,21.55,-4.668,-3.037,-3.742,1.438,8.23,16.77,5.092,14.97,21.18,20.71,19.94,18.81,22.19,15.65,16.4,20.6,3.029
573.3,-0.1206,3.31,4.221,4.909,-0.4169,-0.7213,1.933,-1.043,4.686,17.71,-5.225,-3.407,-3.634,1.583,8.384,17.35,5.654,14.86,20.03,18.35,20.47,21.84,26.11,20.09,16.73,20.42,4.106
585.7,-0.294,6.104,3.841,4.912,-0.1879,-0.545,1.274,-0.4962,2.13,19.48,-3.986,-4.181,-3.736,1.759,8.495,13.96,6.391,14.19,22.27,16.69,19.62,23.3,18.4,20.53,16.44,19.91,2.93
594,-0.2996,5.037,3.021,4.928,-0.4292,-0.8831,2.706,-2.496,2.267,24.27,-4.455,-4.001,-3.966,1.38,9.403,11.23,6.007,15.26,21.57,15.99,19.77,24.61,18.31,23.43,16.59,19.04,4.255
572.6,0.08165,5.573,4.178,4.728,-0.6821,-1.108,2.467,0.07919,0.8634,18.75,-4.502,-4.099,-4.216,1.654,8.575,-3.698,5.509,15.02,20.96,18.14,19.35,22.81,18.12,22.03,18.34,18.62,2.551
