"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
312.8,0.5533,-0.7629,0.3785,1.029,-0.3947,1.841,10.89,-3.031,-0.01377,12.1,0.622,-1.972,5.067,-4.604,-2.43,13.51,12.66,11.2,9.024,11.9,14.49,13.23,12.66,2.701
306.4,0.5307,-0.6806,0.1465,1.932,-2.265,3.52,10,-2.679,-0.05031,12.24,0.8917,-2.31,6.513,-5.239,-2.557,11.96,11.07,10.42,9.024,6.597,16.19,13.91,12.44,3.314
303.6,0.6186,-0.7831,0.1598,3.306,0.3472,3.084,10.11,-2.658,0.03138,12.19,0.937,-2.337,4.113,-5.563,-2.544,11.39,13.25,10.42,8.516,3.803,17.38,16.45,12.47,3.46
311.2,0.4557,-0.6539,0.08878,2.417,-0.6105,2.767,10.01,-2.611,0.1951,11.74,0.9106,-2.21,10.33,-5.182,-2.494,11.58,14.26,9.692,7.239,5.747,17.48,16.09,12.53,4.599
308.1,0.533,-0.5781,0.06535,1.864,1.998,4.612,13.63,-2.293,0.2519,11.85,0.8341,-2.429,13.76,-5.043,-3.286,11.12,10.86,9.692,9.476,8.835,17.37,15.9,12.58,2.878
314,0.3516,-0.3251,0.1929,1.316,-0.7296,4.189,11.8,-2.238,0.04909,11.82,0.77,-2.801,13.4,-4.987,-3.113,13,12.13,10.26,9.709,9.264,16.92,14.06,12.95,3.489
319.7,0.3956,-0.5936,0.1039,1.783,-2.896,4.055,13.59,-2.051,0.265,11.82,0.77,-2.017,4.218,-5.04,-3.69,12.93,12.56,10.26,12.05,15.62,15.99,14.58,13.23,2.442
306.9,0.5475,-0.605,-0.05548,3.625,-0.2049,3.08,13.55,-1.783,0.2169,11.82,0.9281,-1.545,4.218,-4.723,-3.454,13.51,12.78,11.02,11.49,15.58,17.89,10.74,13.46,2.637
304.2,0.5479,-0.5679,0.07653,2.783,-1.586,1.086,14.47,-1.786,0.4359,11.64,0.9281,-0.2828,-0.0738,-4.487,-3.393,14.1,12.78,17.24,13.42,13.9,17.81,12.76,13.23,3.806
305.1,0.5709,-0.7778,0.02371,1.118,0.04115,0.22,14.64,-1.54,0.7597,11.64,1.172,-0.9402,4.244,-4.702,-3.755,15.05,14.38,15,13.83,14.1,17.18,13.82,13.21,0.9544
316,0.4426,-0.864,0.06229,1.345,-0.3911,0.002264,14.06,-1.51,0.5804,11.81,1.48,-1.856,1.697,-4.881,-2.729,15.05,14.38,11.81,13.55,14.84,16.93,13.82,12.69,2.005
312.9,0.427,-0.6535,0.09456,2.293,-1.009,0.1869,13.11,-1.956,0.5804,11.81,1.486,-2.075,-6.082,-4.554,-3.004,14.5,13.62,11.99,13.71,14.77,15.55,13.69,13.44,1.238
310.4,0.5451,-0.8002,0.2083,3.481,-1.369,0.1099,14.83,-2.802,0.9679,11.77,1.513,-1.402,-8.556,-4.26,-3.106,14.5,13.24,14.02,12.2,14.77,15.12,15.52,14.11,1.295
295.6,0.6358,-0.826,-0.1161,2.204,0.09683,0.4693,14.14,-2.693,1.182,10.6,1.489,-2.525,1.224,-4.508,-2.958,16.05,17.89,12.37,12.02,13.34,14.26,14.96,13.54,2.234
293.9,0.6866,-0.802,-0.2716,2.057,0.3973,0.3919,13.13,-2.134,1.282,10.59,1.371,-2.456,-4.842,-4.608,-3.039,15.09,12.78,11.46,12.22,13.73,13.86,17.34,14.38,2.174
320.7,0.3686,-0.5421,0.2717,1.396,-1.351,1.642,14.7,-1.762,1.129,10.74,1.407,-2.268,-3.194,-5.065,-3.016,14.83,15.22,11.81,13.53,12.57,13.41,14.91,13.92,1.64
326.1,0.5279,-0.6078,0.08407,0.1706,-1.212,1.626,13.22,-1.804,1,10.51,1.332,-2.2,5.602,-4.812,-3.183,14.83,13.79,13.12,13.53,12.57,12.8,13.4,13.81,0.6565
323.6,0.3804,-0.4249,0.2587,1.084,-1.304,3.22,13.06,-1.305,1.156,10.57,1.156,-1.668,16.13,-4.895,-2.991,14.01,13.79,14.27,13.46,12.43,13.7,11.7,13.83,0.6885
315.3,0.4893,-0.7013,0.009267,4.644,-4.364,3.855,13.51,-1.94,0.9275,10.75,1.588,-1.763,7.739,-4.887,-3.544,14.38,14,11.65,14.01,12.64,13.84,12.02,14.58,1.337
310.9,0.67,-0.9936,-0.2526,4.411,-0.02017,4.356,13.88,-2.007,1.193,10.93,1.541,-1.727,-3.669,-4.816,-3.768,13.83,11.23,9.579,14.35,11.78,12.48,12.51,14.5,2.051
322.6,0.5015,-0.9936,-0.2897,4.492,-3.959,3.755,14.47,-2.135,0.9355,10.89,1.476,-1.391,4.26,-4.629,-3.622,14.78,12.64,10.82,14.43,12.69,12.2,14.31,14.9,1.323
308.7,0.6369,-0.7247,-0.05864,1.937,0.4773,0.09143,14.08,-2.247,1.168,9.866,1.564,-1.391,-0.7826,-4.122,-3.579,14.26,14.9,12.29,14.66,12.69,12.5,14.75,14.48,1.162
325.2,0.3808,-0.7247,0.3506,1.382,0.8321,0.6405,14.08,-2.469,1.164,10.36,1.601,-1.719,6.704,-3.972,-3.817,15.16,14.56,15.59,14.13,12.69,12.35,14.64,14.61,1.478
318.3,0.3849,-0.4031,-0.004704,0.7336,-0.8026,1.363,13.87,-1.226,1.158,9.969,1.628,-1.566,16.16,-3.651,-3.304,15.29,11.68,16.02,14.16,16.06,11.02,14.47,14.05,2.062
