"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
8489,3.826,9.243,4.167,5,-0.9087,-0.8143,3.695,2.956,3.798,1.353,1.608,-3.458,-4.652,-1.041,4.216,9.034,-2.785,5.574,1.369,0.3722,-0.8438,1.281,0.7679,1.597,3.043,2.116,1.095
8511,3.68,9.129,4.774,4.999,-0.7601,-0.6942,0.4197,-0.1021,4.654,0.8489,2.174,-3.618,-5.062,-1.009,4.164,1.204,-2.671,5.596,1.157,0.6607,0.5325,0.8493,-2.287,0.8639,3.251,1.865,1.833
8483,4.024,8.795,4.578,5,-0.8364,-0.2125,1.492,-0.9827,4.409,0.6438,2.037,-3.754,-5.173,-0.985,4.884,0.9459,-2.8,6.096,1.64,1.348,1.352,0.983,-0.9036,0.2134,1.608,1.91,0.5955
8503,4.132,8.992,4.915,4.999,-1.189,-0.9087,0.6683,-0.2913,4.335,0.8221,1.724,-3.784,-5.216,-0.9061,4.789,1.645,-2.864,5.816,1.534,0.6399,1.034,0.9028,1.743,0.4191,2.458,2.089,0.686
8490,4.141,9.123,4.073,4.999,-1.1,-0.6223,1.723,0.2548,4.8,1.606,1.828,-4.063,-5.285,-0.8767,4.629,6.307,-2.946,6.245,0.9118,1.341,1.823,0.6322,2.65,0.5097,2.214,2.125,0.6434
8503,3.993,9.056,4.47,4.996,-0.9981,-0.9906,0.358,-0.4622,4.963,1.181,1.942,-4.107,-5.146,-0.8774,4.696,0.759,-2.834,6.61,0.9043,0.9882,1.414,0.1613,1.243,0.8158,2.534,2.03,1.318
8474,3.74,9.085,4.455,5,-0.01437,-0.1039,0.3014,-0.4171,4.453,1.702,1.584,-4.331,-4.905,-1.001,4.981,-0.4479,-2.788,6.682,0.9573,2.557,2.442,-0.05662,1.243,1.278,1.28,1.577,0.7251
8505,3.88,8.608,4.581,4.996,-0.4968,-0.8648,0.6422,-1.09,4.697,1.847,1.456,-4.036,-5.376,-0.9711,5.071,5.751,-3.208,6.638,1.184,1.916,1.576,0.4614,1.867,1.743,1.991,1.465,0.6965
8495,3.918,8.861,4.505,5,-1.2,-1.277,1.011,-1.188,4.063,1.887,1.363,-4.75,-5.289,-0.9892,4.923,7.494,-3.368,6.804,1.184,3.535,2.68,0.4255,3.393,0.7899,3.972,1.584,1.39
8505,3.785,9.084,4.641,4.994,-0.7981,-0.5881,0.2987,-0.9568,4.587,1.208,1.261,-4.972,-5.319,-0.9801,4.876,6.953,-3.537,6.972,1.06,4.061,1.999,2.519,1.616,0.1533,4.633,1.686,2.829
