"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
437.2,2.641,-0.1308,-0.1709,0.4219,-0.4821,3.012,3.174,3.019,-1.793,-7.902,3.109,4.189,-7.373,-3.858,7.732,4.114,3.104,4.021,2.236,3.037,4.13,4.258,3.418,1.043
402.8,3.112,0.1017,-0.1049,1.891,0.4516,1.917,3.38,3.035,-2.049,-7.923,3.097,4.418,-7.23,-4.155,7.525,3.706,3.467,3.596,1.882,3.815,3.681,3.918,3.286,1.073
424.4,2.746,0.07186,0.1921,1.263,-0.01563,0.4673,3.103,2.977,-2.084,-8.071,2.999,4.28,-7.595,-4.246,7.466,4.993,4.989,4.353,3.522,4.468,2.956,3.611,3.252,1.664
414.5,2.743,0.1103,0.03233,0.2605,-0.4574,0.4147,4.516,3.039,-2.557,-8.445,3.065,4.273,-5.938,-4.249,7.424,5.248,4.324,3.887,3.838,5.464,4.297,4.178,3.57,0.6745
426.5,2.818,-0.2578,-0.1316,0.3047,-1.152,1.451,4.479,2.919,-2.595,-8.202,3.002,3.588,-1.299,-4.539,7.668,5.766,2.687,5.596,3.651,3.722,5.19,3.566,3.833,1.424
414.1,3.194,-0.3644,-0.5122,0.07732,-0.6133,2.541,4.713,3.111,-2.798,-8.569,3.586,3.686,4.677,-4.82,7.553,5.608,6.77,5.043,4.356,5.089,5.217,3.872,4.071,1.125
442.3,2.673,-0.339,-0.2517,0.7075,-0.919,2.322,4.081,2.668,-2.719,-8.609,3.793,4.722,8.179,-4.556,7.423,4.713,6.128,4.185,3.975,3.878,5.191,3.459,4.728,1.011
411.2,3.273,-0.3018,-0.2517,0.8434,-1.02,3.067,4.945,2.618,-2.925,-9.289,4.08,4.261,4.001,-4.612,7.64,4.442,4.97,7.118,4.429,3.891,5.345,3.233,4.768,1.147
411.3,3.255,-0.2604,-0.401,0.6786,-0.1896,4.06,4.171,2.672,-2.694,-9.129,4.193,4.285,-1.247,-4.545,7.27,4.209,4.607,4.328,3.781,5.849,4.91,3.329,5.249,1.01
430.2,2.895,-0.3449,-0.255,0.5549,-1.345,3.317,4.537,2.77,-2.969,-9.026,4.139,4.632,-2.83,-4.566,6.987,4.847,4.854,3.8,4.02,4.154,4.928,4.126,4.482,0.3715
435.5,2.755,-0.1972,-0.1321,0.6759,-0.8278,2.309,4.571,2.735,-3.007,-8.795,3.919,4.234,-3.269,-4.46,7.144,4.68,4.452,4.514,4.508,4.422,4.498,4.519,4.559,0.09837
430.9,2.74,-0.2541,-0.2427,0.4133,-0.9873,1.456,4.57,2.954,-2.608,-8.968,3.532,4.353,-1.522,-4.553,7.109,4.679,4.661,4.5,4.664,4.422,4.597,4.58,4.623,0.08289
420.3,2.73,-0.2555,0.01002,0.2781,-0.4008,0.1095,4.687,2.241,-3.082,-9.559,3.923,4.349,1.285,-4.191,7.171,4.235,4.391,5.076,4.539,4.456,4.947,4.633,4.524,0.3265
