,GSMeanFPC,GSUrbP,GSWatP,GSNatP,GSPatDP,Sb250FPC,Sb125FPC,Sb50FPC,Sb250PNat,Sb125PNat,Sb50PNat,Sb250RDens,Sb125RDens,Sb50RDens,Sb250RElev,Sb125RElev,Sb50RElev,Sbd30,Sclay30,Spawc1m,,,
GSMeanFPC,1.00,-0.60,-0.24,0.76,-0.53,0.68,0.41,0.22,0.52,0.37,0.15,-0.58,-0.24,-0.04,0.45,0.45,0.45,-0.20,-0.01,-0.14,,,
GSUrbP,-0.60,1.00,0.18,-0.61,0.39,-0.36,-0.20,-0.02,-0.37,-0.27,-0.09,0.47,0.20,-0.05,-0.61,-0.60,-0.59,0.18,-0.10,0.16,,,
GSWatP,-0.24,0.18,1.00,-0.30,0.20,-0.05,0.00,0.07,-0.23,-0.15,0.01,0.11,0.00,-0.12,-0.27,-0.26,-0.25,0.21,-0.07,0.09,,,
GSNatP,0.76,-0.61,-0.30,1.00,-0.59,0.41,0.25,0.06,0.68,0.56,0.31,-0.58,-0.26,-0.06,0.54,0.54,0.54,-0.17,0.06,-0.19,,,
GSPatDP,-0.53,0.39,0.20,-0.59,1.00,-0.30,-0.19,-0.07,-0.47,-0.40,-0.19,0.35,0.23,0.07,-0.22,-0.22,-0.22,0.03,0.02,-0.07,,,
Sb250FPC,0.68,-0.36,-0.05,0.41,-0.30,1.00,0.81,0.55,0.57,0.46,0.27,-0.48,-0.21,-0.11,0.33,0.34,0.34,-0.20,-0.10,-0.02,,,
Sb125FPC,0.41,-0.20,0.00,0.25,-0.19,0.81,1.00,0.82,0.45,0.44,0.40,-0.25,-0.19,-0.13,0.14,0.14,0.14,-0.17,-0.11,0.07,,,
Sb50FPC,0.22,-0.02,0.07,0.06,-0.07,0.55,0.82,1.00,0.12,0.12,0.24,-0.05,-0.08,-0.12,-0.06,-0.06,-0.06,-0.12,-0.09,0.09,,,
Sb250PNat,0.52,-0.37,-0.23,0.68,-0.47,0.57,0.45,0.12,1.00,0.92,0.65,-0.46,-0.20,-0.06,0.49,0.50,0.50,-0.19,0.02,-0.02,,,
Sb125PNat,0.37,-0.27,-0.15,0.56,-0.40,0.46,0.44,0.12,0.92,1.00,0.80,-0.39,-0.30,-0.15,0.37,0.38,0.38,-0.07,-0.10,0.07,,,
Sb50PNat,0.15,-0.09,0.01,0.31,-0.19,0.27,0.40,0.24,0.65,0.80,1.00,-0.21,-0.27,-0.28,0.19,0.20,0.20,-0.02,-0.11,0.06,,,
Sb250RDens,-0.58,0.47,0.11,-0.58,0.35,-0.48,-0.25,-0.05,-0.46,-0.39,-0.21,1.00,0.70,0.33,-0.27,-0.27,-0.26,0.01,0.02,0.02,,,
Sb125RDens,-0.24,0.20,0.00,-0.26,0.23,-0.21,-0.19,-0.08,-0.20,-0.30,-0.27,0.70,1.00,0.59,-0.04,-0.04,-0.03,-0.19,0.21,-0.14,,,
Sb50RDens,-0.04,-0.05,-0.12,-0.06,0.07,-0.11,-0.13,-0.12,-0.06,-0.15,-0.28,0.33,0.59,1.00,0.09,0.08,0.09,-0.13,0.23,0.03,,,
Sb250RElev,0.45,-0.61,-0.27,0.54,-0.22,0.33,0.14,-0.06,0.49,0.37,0.19,-0.27,-0.04,0.09,1.00,1.00,1.00,-0.27,0.15,-0.21,,,
Sb125RElev,0.45,-0.60,-0.26,0.54,-0.22,0.34,0.14,-0.06,0.50,0.38,0.20,-0.27,-0.04,0.08,1.00,1.00,1.00,-0.28,0.15,-0.21,,,
Sb50RElev,0.45,-0.59,-0.25,0.54,-0.22,0.34,0.14,-0.06,0.50,0.38,0.20,-0.26,-0.03,0.09,1.00,1.00,1.00,-0.28,0.15,-0.21,,,
Sbd30,-0.20,0.18,0.21,-0.17,0.03,-0.20,-0.17,-0.12,-0.19,-0.07,-0.02,0.01,-0.19,-0.13,-0.27,-0.28,-0.28,1.00,-0.67,0.33,,,
Sclay30,-0.01,-0.10,-0.07,0.06,0.02,-0.10,-0.11,-0.09,0.02,-0.10,-0.11,0.02,0.21,0.23,0.15,0.15,0.15,-0.67,1.00,-0.20,,,
Spawc1m,-0.14,0.16,0.09,-0.19,-0.07,-0.02,0.07,0.09,-0.02,0.07,0.06,0.02,-0.14,0.03,-0.21,-0.21,-0.21,0.33,-0.20,1.00,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
