"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
788.9,0.09581,2.749,0.4353,4.955,-0.7763,-0.1024,0.296,-1.411,3.12,19.09,5.937,1.261,-1.282,-8.975,-8.307,-7.494,7.631,9.033,20.83,21.41,17.1,19.29,17.41,17.78,17.73,21.39,1.73
768.2,0.1732,3.311,-0.6467,4.92,-0.8952,0.175,2.41,0.5023,3.063,20.12,6.085,1.886,-1.545,-8.758,-8.307,-12.05,7.403,10.02,21.22,19.03,19.53,18.36,20.2,20.41,20.43,20.98,1.182
757.8,0.2999,4.042,-0.643,5,-1.166,0.1302,0.4342,-1.027,2.649,18.38,5.764,0.2973,-1.597,-8.819,-8.133,-12.63,7.196,9.533,19.14,18.07,19.53,17.64,20.2,20.91,20.32,20.74,1.486
765.2,0.1745,3.036,0.07269,4.985,-0.6581,0.1408,0.1393,-1.12,2.115,19.58,5.672,0.8935,-1.128,-8.946,-8.136,-8.089,7.229,9.844,19.16,21.1,17.72,17.67,20.2,20.13,19.89,21.23,1.272
762.8,0.1614,3.977,0.3548,4.969,-0.5126,0.2196,0.3955,-1.326,2.166,19.54,5.819,0.765,-0.1133,-9.812,-8.068,-9.542,7.165,9.844,20.25,18.4,19.83,20.17,19.64,20.13,18.78,20.39,1.693
777.3,0.05662,4.758,-1.134,4.917,-0.9843,0.2673,2.487,1.001,1.833,20.05,5.941,0.09156,-0.1156,-10.21,-8.162,-11.22,7.292,10.03,19.7,18.88,17.38,20.78,18.46,26.14,19.78,20.23,2.174
768.7,0.2743,3.311,-1.345,4.895,-0.6425,0.06134,1.548,1.133,0.9696,19.57,6.068,-0.1522,-0.01348,-9.898,-8.33,-10.47,6.771,11.26,19.7,25.48,22.62,17.45,18.37,26.68,21.16,21.28,3.301
768.7,0.3841,2.881,0.03067,4.889,-1.068,-0.153,1.71,-0.9642,3.361,18.16,5.703,-0.2532,-0.1868,-9.766,-8.415,-6.235,6.49,10.16,21.61,18.36,21.3,14.64,14.57,22.56,19.88,21.27,2.832
767.5,0.2925,3.942,-0.5397,4.998,-0.933,-0.07736,0.1875,-1.386,3.393,20.7,5.738,-0.6419,0.01322,-10.51,-8.507,-6.939,6.593,10.65,21.2,15.49,22.76,13.65,18.3,20.87,20.8,21.27,3.559
770,0.3052,3.482,0.1339,4.939,-1.086,-0.141,0.3051,-0.9678,2.507,16.62,5.744,-0.8176,0.116,-10.44,-9.036,-14.44,7.614,10.54,21.72,20.31,22.04,13.65,11.4,23.31,21.92,21.73,3.831
756.1,0.2012,2.946,-0.2458,4.916,-0.7101,0.3027,1.209,-0.5515,2.858,22.69,5.736,-1.215,0.1038,-10.35,-8.27,1.013,7.702,11.84,22,27.38,21.85,19.22,21.68,24.64,21.98,20.88,2.44
774.4,0.05017,2.546,0.1881,4.968,-1.039,0.2171,0.7385,-1.137,3.5,21.03,6.223,-1.399,-1.001,-9.81,-7.515,-3.446,7.817,11.19,21.56,20.87,22.02,19.42,22.25,20.54,19.59,20.65,1.553
765.7,0.1857,4.188,0.5848,4.983,-0.7143,0.1572,3.703,-2.453,0.3788,20.54,6.536,-0.6037,-0.7158,-10.07,-6.885,-9.712,7.33,10.39,20.6,19.89,20.35,18.13,24.25,18.65,20.31,21.68,1.981
767.6,0.215,3.464,-0.923,4.854,-0.7792,0.1048,0.9415,-1.017,0.6933,23.14,4.808,-1.37,-0.7013,-10.68,-7.825,-3.354,6.388,10.39,21.92,23.16,23.36,21.37,25.57,21.86,21.96,21.7,1.407
786.9,0.1152,2.991,-0.04039,4.939,-0.8449,-0.09011,0.1651,-1.042,0.3931,20.89,5.558,-1.334,-1.249,-10.8,-8.113,-4.649,6.762,9.994,21.42,22.6,21.67,22.15,21.51,20.67,20.56,21.06,0.925
751.8,0.2743,3.546,-0.3465,4.981,-0.7699,0.2469,0.5386,-1.611,0.3851,22.23,6.605,-0.8155,-1.219,-10.52,-8.077,-7.628,7.218,10.08,21.3,21.83,23.74,21.69,22.36,23.29,20.85,21.63,0.7826
774.8,0.2661,4.325,-1.456,4.979,-1.024,-0.0719,0.6316,-1.27,0.2071,21.37,6.315,-0.5478,-1.449,-11.06,-7.881,-14.8,7.634,11.3,20.51,21.8,21.08,21.25,21.86,21.75,20.48,20.23,0.6357
755.2,0.4112,4.285,-1.453,4.984,-1.041,-0.1604,0.7245,-0.06005,0.08821,20.34,6.01,-1.108,-1.379,-10.04,-7.774,-10.9,7.092,11.15,20.45,18.76,20.54,20.75,22,20.04,20.73,20,0.8501
768,0.2962,3.701,-1.64,4.985,-0.6133,-0.05426,1.447,-1.709,0.2396,20.71,4.882,-1.262,-1.379,-9.115,-7.774,-16.21,7.017,11.76,20.18,21.63,20.91,19.84,21.15,20.13,21.22,20.2,0.6527
762.2,0.2476,5.111,-0.2411,4.966,-0.7237,0.01232,0.9695,-0.6564,0.4183,20.99,4.929,-0.2278,-1.739,-8.94,-7.791,-16.17,7.128,11.81,21.01,21.63,20.25,20.87,21.15,20.9,20.16,20.78,0.4013
