"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
328.7,0.01259,-0.4062,0.9222,0.2026,-0.7859,3.915,30.22,-5.257,5.678,-11.72,7.758,16.96,14.9,-18.28,-2.242,33.56,32.08,33.39,33.41,30.12,31.58,32.43,30.83,3.121
358.1,-0.2862,-0.52,0.8585,0.1611,-0.6584,3.896,31.08,-3.947,5.791,-11.72,7.924,15.21,8.39,-18.07,-2.677,30.32,34.39,30.5,34.44,35.2,30.08,33.1,31.83,3.208
338.1,-0.2524,-0.52,1.129,0.4329,-1.556,3.195,31.83,-3.86,5.003,-11.19,8.158,13.65,-0.981,-17.82,-2.016,30.32,33.07,32.55,34.94,34.2,30.13,31.91,32.34,1.79
356.9,-0.383,-0.4957,0.9812,0.6501,-0.7477,1.476,31.96,-3.941,5.169,-10.77,8.184,12.9,15.3,-17.07,-1.956,30.14,30.48,31.47,32.46,30.65,29.79,34.95,32.75,1.407
330.2,-0.1033,-0.4724,1.049,0.9966,-0.8344,1.9,31.43,-4.583,5.728,-10.12,7.994,12.82,-6.202,-17.54,-3.309,32.36,30.04,31.47,31.95,31.01,33.22,30.82,32.52,1.195
319.3,0.08114,-0.465,0.9533,0.2264,-1.276,4.607,31.62,-4.537,5.828,-8.807,8.097,12.4,-4.933,-17.37,-3.946,32.78,28.39,31.47,32.07,30.03,33.47,31.04,31.65,1.369
357.1,-0.434,-0.7464,1.058,0.1415,-1.171,4.402,30.97,-4.28,5.728,-8.704,8.034,13.16,5.003,-16.84,-3.865,32.99,36,31.67,32.86,23.94,31.64,36.07,29.71,4.978
341.5,-0.3238,-0.9753,1.242,0.202,-1.15,4.86,29.32,-5.121,5.899,-9.887,7.858,13.27,7.481,-17.32,-3.258,32.22,28.43,32.57,31.51,23.16,32.22,36.35,27.47,3.107
347.1,-0.2555,-0.7318,0.8851,0.1448,-1.31,3.898,29.68,-5.447,5.745,-10.07,7.146,14.22,1.153,-17.03,-3.276,31.9,25.85,31.81,32.79,25.92,31.8,32.92,28.29,3.018
344,-0.2134,-0.6866,0.8735,0.01945,-1.198,2.284,29.91,-5.352,5.574,-9.931,7.1,12.85,-2.417,-17.18,-3.256,30.6,28.36,24.24,31.77,34.35,31.57,32.52,28.17,2.99
336.8,-0.1601,-0.5899,0.9643,0.01167,-1.213,3.507,27.89,-4.387,5.611,-9.964,7.027,14.14,-8.507,-16.8,-3.459,29,29.3,29,30.57,27.87,29.05,28.76,28.71,2.035
342.2,-0.2746,-0.8006,1.079,0.02107,-1.231,0.3731,30.71,-4.387,5.513,-10.89,6.362,13.68,-9.603,-15.97,-3.459,31.53,31.14,30.75,29.45,29.03,29.65,29.19,28.29,2.039
346.9,-0.4118,-0.4404,1.306,0.008268,-1.209,1.449,30.64,-4.596,5.341,-10.78,6.238,13.07,-8.596,-16.43,-3.28,32.11,30.65,30.75,30.12,30.76,30.55,30.32,29.22,0.7587
354.8,-0.5179,-0.6027,1.32,0.032,-1.194,3.429,30.44,-4.452,5.874,-10.57,5.77,12.88,0.795,-15.92,-3.336,30.27,30.46,30.47,30.39,30.11,30.22,29,29.11,1.056
345.3,-0.3516,-0.7407,1.179,0.01428,-1.217,1.603,30.36,-4.184,6.571,-10.89,5.715,11.58,-8.753,-15.54,-3.228,28.97,30.92,28.2,31.39,26.91,29.03,26.75,28.17,2.782
357.3,-0.4311,-0.7609,1.066,0.02047,-1.222,2.074,28.72,-4.42,5.868,-11.09,5.623,12.58,-11.8,-15.57,-3.226,28.99,30.92,32.19,33.55,26.91,29.07,27.53,27.42,1.842
344.6,-0.3039,-0.5978,1.131,0.006791,-1.216,1.528,29.49,-4.27,6.072,-11.26,5.677,12.42,-11.9,-15.56,-2.941,28.99,32.45,31.11,35.44,27.92,29.41,28.69,26.79,2.42
346.3,-0.3256,-0.7169,1.131,0.03941,-1.229,0.8391,31.44,-4.005,6.221,-11.31,5.264,12.51,-3.283,-15.45,-2.93,31.68,30.35,30.9,34.4,29.7,30.06,28.66,26.44,2.811
336.3,-0.233,-0.2017,1.277,0.01072,-1.219,3.397,28.3,-4.583,6.138,-11.91,5.841,11.3,4.273,-15.38,-2.695,32,31.61,31.18,33.63,32.33,28.72,29.65,26.44,3.832
349.2,-0.223,-0.1835,0.8744,0.03509,-1.207,1.785,29.01,-4.399,6.542,-11.37,6.349,9.014,0.3778,-14.84,-2.237,31.04,30.37,31.17,33.21,29.18,31.61,29.58,26.25,2.523
341.2,-0.3027,-0.437,1.205,0.02392,-1.207,0.4581,31.75,-5.12,5.668,-11.14,6.953,9.187,3.822,-14.42,-2.443,34.23,31.09,32.3,31.63,32.24,31.51,29.02,26.19,2.969
340,-0.1884,-0.5492,0.987,0.01935,-1.187,2.549,32.75,-5.524,6.021,-11.47,6.739,9.63,-8.163,-14.99,-2.399,34.9,28.43,32.19,32.47,34.41,32.33,32.89,27.43,3.279
332.5,-0.1837,-0.3955,1.185,0.1401,-1.272,1.601,27.53,-6.503,5.711,-11.51,6.952,8.112,-1.4,-15.59,-2.771,34.68,29,28.79,32.82,32.19,30.28,31.41,27.71,4.075
357,-0.2758,-0.3955,0.7772,0.1424,-1.146,0.3452,34.31,-5.322,5.815,-11.62,6.622,8.655,-4.033,-15.25,-1.784,36.05,40.92,36.58,32.22,29.33,28.19,29.43,26.04,4.966
330,-0.1338,-0.4062,1.136,0.563,-1.234,0.5229,28.46,-6.652,6.086,-11.63,6.425,8.32,10.44,-15.63,-1.444,36.1,36.55,31.77,32.92,29.84,28.53,29.01,26.01,3.419
337.7,-0.1702,-0.5552,1.124,1.937,-0.7012,3.068,28.01,-6.02,5.842,-11.72,6.283,7.893,10.44,-15.38,-0.9323,34.42,33.09,30.42,33.48,26.52,29.31,31.25,24.67,4.932
349.3,-0.3205,-0.4663,0.9861,0.2769,-0.942,1.134,29.84,-6.62,6.195,-11.5,6.147,7.186,11.38,-15.44,-0.7254,35.76,26.69,31.76,33.54,26.96,30.7,28.92,25.36,4.435
346.5,-0.3212,-0.476,1.054,0.3484,-1.07,0.2805,30.5,-6.652,5.968,-11.78,6.147,7.04,15.58,-15.63,-0.7254,37.78,28.01,31.47,33.21,26.66,30.74,27.81,25.57,2.585
324.4,-0.1655,-0.5721,1.483,0.1199,-0.8747,0.1726,28.77,-5.939,5.891,-11.61,6.199,7.082,8.551,-16.07,-0.2617,37.56,27.13,28.95,33.06,32.39,26.8,31.38,25.11,4.903
