deviance	1	3000
gbar	3001	6000
gdbar	6001	9000
gdres	9001	12000
gdsig	12001	15000
grain	15001	18000
gtemp	18001	21000
msig	21001	24000
rbar	24001	27000
saut	27001	30000
sbar	30001	33000
sbd	33001	36000
sclay	36001	39000
selev	39001	42000
sfpc	42001	45000
sgnat	45001	48000
sgpad	48001	51000
spaw	51001	54000
srden	54001	57000
sveg[1]	57001	60000
sveg[2]	60001	63000
sveg[3]	63001	66000
sveg[4]	66001	69000
sveg[5]	69001	72000
sveg[6]	72001	75000
sveg[7]	75001	78000
sveg[8]	78001	81000
vsig	81001	84000
