"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
338.5,0.4528,5.928,0.4916,4.279,-0.24,0.3379,2.265,-0.6596,4.696,0.1304,-6.33,1.695,-6.458,3.758,5.164,-5.23,-17.41,-7.288,0.09757,0.6932,1.231,-0.1162,0.005175,-0.9505,0.9123,0.06697,0.7393
334.3,0.5212,6.884,1.036,4.495,-0.2283,0.3652,3.557,-4.119,4.037,0.006838,-5.901,2.359,-6.498,3.383,4.66,0.3323,-16.68,-7.469,0.1524,0.7648,-0.2666,-1.134,0.005175,0.07285,0.1298,0.9657,0.4636
349.5,0.3352,5.634,-2.975,4.626,-0.3617,-0.05644,3.859,-4.578,1.55,0.1072,-5.799,2.783,-6.375,3.263,4.891,-2.096,-16.36,-7.137,1.42,0.009922,-0.005233,-0.8666,-0.3587,-0.4053,-0.2376,-0.3106,0.6281
333.1,0.45,7.457,0.5681,4.764,-0.3264,0.1387,3.752,-2.113,4.48,0.2758,-5.621,2.639,-6.469,3.07,4.614,-0.02308,-15.86,-7.357,1.796,-0.4519,0.4698,-0.3428,-0.7881,-0.09963,0.2781,-0.2115,1.472
326.8,0.494,7.885,-1.097,4.812,-0.167,0.2668,1.89,-0.7987,1.961,0.468,-5.676,2.541,-6.161,3.129,2.864,-6.467,-15.75,-7.504,1.252,1.225,-1.029,1.435,3.66,-0.8162,0.2193,0.6755,1.792
344.1,0.4098,6.241,-1.088,4.871,-0.5018,0.1397,2.692,-1.704,1.826,0.02577,-5.244,2.64,-6.218,3.09,2.74,-19.44,-15.04,-7.513,1.047,-0.2964,-0.8884,1.215,0.9652,-1.522,0.02304,-0.03698,1.32
327.3,0.5297,7.815,-1.06,4.613,-0.1068,0.3682,2.105,-1.457,2.926,-0.238,-5.559,2.761,-6.413,3.118,3.264,-19.91,-14.89,-7.541,0.531,1.721,-1.099,1.718,0.5842,-3.532,1.627,-0.4189,3.022
335.4,0.5373,7.616,1.206,4.716,-0.4206,0.0767,3.251,-0.656,2.872,0.9657,-6.06,4.359,-6.415,3.027,3.109,-9.205,-15.38,-7.876,0.4012,2.689,3.407,1.157,1.954,-2.303,2.361,-0.8605,2.738
345.2,0.3943,8.981,-0.7439,4.98,-0.4069,0.2442,4.803,-2.644,2.045,-3.346,-5.722,4.559,-6.423,3.233,4,-13.72,-16,-7.496,1.298,-1.088,6.146,-2.223,-4.411,-1.953,3.415,-2.059,4.074
349,0.3161,6.907,-0.8484,4.003,0.1011,0.4168,1.691,0.2642,1.451,-0.1619,-6.194,4.23,-5.897,2.803,3.605,-14.27,-15.37,-6.183,1.427,-3.034,3.098,-2.134,-3.843,-0.4413,2.984,-1.458,2.835
349.1,0.4073,6.559,-2.388,4.381,-0.2065,0.418,1.759,-0.6167,0.1324,2.608,-6.884,4.187,-5.139,2.476,2.975,-9.146,-15.24,-6.484,2.608,2.559,7.969,-1.689,1.556,-0.2213,4.322,-1.176,2.03
359,0.2056,8.844,0.4079,4.79,-0.02299,0.3765,1.146,-1.342,3.737,1.165,-6.503,4.131,-5.105,2.402,2.965,-0.4945,-15.09,-6.752,2.028,2.549,6.601,-2.393,-2.247,-0.2581,6.16,1.213,2.934
353.6,0.2864,6.674,0.6224,4.387,-0.3789,-0.0181,2.893,-1.63,4.13,-0.3435,-6.353,4.712,-4.872,2.085,3.778,-2.114,-13.96,-6.477,3.639,3.551,3.116,-1.786,-1.058,-0.9423,4.175,1.951,2.646
348.3,0.285,5.933,0.3007,4.207,-0.1134,0.2956,3.76,1.973,0.8198,3.148,-6.184,4.111,-4.752,2.317,3.803,10.76,-14.55,-6.368,4.469,-2.039,2.194,-2.015,1.169,-1.504,4.631,2.789,3.785
364.5,0.04448,6.946,-0.5806,4.537,-0.09248,0.3623,1.989,-2.387,4.76,0.8366,-5.005,4.076,-4.756,2.345,3.649,8.377,-14.58,-6.448,4.429,-7.005,1.781,-0.2747,4.093,-1.812,4.571,1.178,2.952
339.5,0.4662,7.957,-0.6953,3.329,-0.125,0.3425,3.245,-1.642,1.212,2.025,-4.713,3.545,-4.199,2.378,3.693,15.95,-15,-6.472,4.298,-5.855,2.18,-2.129,1.282,-2.533,4.814,1.088,4.414
345.8,0.2813,7.699,0.1957,4.585,-0.2968,0.319,4.76,-1.354,3.276,0.3595,-4.041,4.31,-3.967,2.286,3.731,10.75,-15.32,-6.22,4.877,-3.028,1.814,-3.426,-3.729,-1.47,4.8,0.3759,3.043
337.1,0.381,7.18,-0.7424,4.165,-0.07231,0.295,4.499,-2.231,0.5978,0.5638,-3.702,4.498,-3.967,2.39,3.984,14.24,-15.39,-6.208,4.834,1.078,4.014,-2.109,2.584,-2.501,3.713,0.3376,2.82
345.2,0.3584,8.283,1.016,4.187,-0.1726,0.3268,2.949,-1.852,2.121,-1.323,-3.579,4.131,-3.714,2.275,3.825,-2.75,-14.52,-6.278,6.278,0.7185,-1.137,-0.3787,5.264,-3.173,1.593,-0.4839,3.327
337.8,0.4099,8.961,-0.953,4.35,0.0349,0.4353,3.902,1.633,1.499,1.908,-3.412,4.143,-4.075,2.26,4.477,5.387,-13.96,-6.21,5.552,-1.797,-0.4116,0.5834,-0.1969,-5.063,1.071,-0.8325,3.765
346.1,0.3489,5.276,1.926,4.458,-0.2679,0.1845,4.66,0.915,4.402,1.476,-3.664,3.998,-3.824,2.133,3.926,14.92,-14.37,-6.287,6.358,-0.1775,0.3422,-0.7727,-0.8187,-4.976,1.729,-1.076,3.995
353.8,0.1363,8.542,-0.6381,4.982,-0.1291,0.1845,2.291,0.01809,0.2433,1.62,-3.416,3.979,-3.83,1.812,4.048,12.63,-14.72,-6.464,4.952,2.415,0.007362,2.012,1.514,-3.45,0.6023,-1.412,3.77
351.4,0.1829,6.552,1.11,4.612,-0.09808,0.2772,3.749,-1.632,0.3747,2.943,-4.563,3.612,-3.482,1.706,3.669,12.9,-14.31,-6.76,4.944,3.413,1.597,1.317,4.817,-4.156,0.865,-1.502,3.938
355.2,0.2548,6.502,1.302,4.869,-0.1787,0.4309,4.739,-4.322,0.3132,1.533,-3.955,3.726,-4.14,1.899,3.044,5.287,-14.19,-6.843,4.682,5.395,4.622,1.236,2.351,-4.259,1.076,-1.636,3.121
