"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
219.1,0.8434,-0.2875,0.2461,4.116,-0.7711,0.991,1.167,-12.29,1.465,-4.97,0.9838,10.95,6.269,-19.1,-1.756,3.587,-0.8639,2.312,2.133,2.152,1.158,-1.014,2.229,1.895
219.7,0.9201,-0.3894,0.2196,4.932,-4.762,0.2825,4.52,-11.97,0.9629,-4.988,0.8934,11.18,6.472,-18.85,-1.716,3.042,-1.205,2.573,2.032,5.64,1.819,-1.014,0.8379,3.843
233.6,0.6385,-0.1336,0.1904,3.113,-1.033,0.06882,1.949,-12.45,1.097,-4.911,0.8506,10.06,-2.164,-18.57,-1.652,2.835,2.461,0.6367,1.722,1.213,0.2018,0.1704,1.166,1.579
225.9,0.8412,-0.4727,0.1982,4.223,-3.775,0.5887,1.101,-13.05,0.9303,-5.339,0.7466,10.45,-1,-18.66,-1.39,1.764,0.6522,-0.4283,1.435,2.38,-0.4551,1.141,1.68,0.9021
224.7,0.8412,-0.4305,0.3295,4.114,-0.5825,4.216,0.564,-13.53,1.483,-5.231,1.046,10.32,-0.4808,-18.77,-1.854,1.372,0.1863,0.5477,0.6746,-0.73,-0.9474,3.367,0.9928,1.13
214.8,0.9815,-0.4701,0.04741,4.391,0.5524,2.672,1.887,-12.96,1.911,-5.423,1.201,11.33,-11.9,-19.38,-1.875,1.292,-0.008694,1.175,2.442,2.663,-0.7887,3.315,1.356,1.719
240.9,0.6495,-0.3899,0.236,3.212,0.2813,0.6536,2.118,-12.69,2.668,-5.044,1.516,10.67,-10.31,-19.91,-2.163,1.162,-1.026,3.486,0.8387,3.096,-0.1115,-0.04534,1.782,1.866
222.9,0.6622,-0.02484,0.282,4.774,2.56,0.4714,1.579,-11.87,2.422,-5.128,1.337,10.26,-6.498,-19.04,-2.258,1.426,4.844,1.181,2.6,0.04992,-0.4715,1.217,3.019,1.421
235.1,0.6115,-0.1535,0.4207,2.916,-2.335,1.576,1.138,-11.86,2.337,-4.896,1.15,10.5,6.161,-19.81,-2.258,-0.1252,-1.105,2.354,-0.1866,0.9836,-0.7783,1.984,2.251,2.13
229.2,0.7786,-0.4093,0.2275,4.435,-0.01654,1.461,1.431,-11.83,2.245,-4.87,1.217,10.3,3.411,-19.9,-2.235,-1.176,-3.11,1.717,-0.1311,4.124,-1.088,-0.4216,1.954,2.251
229,0.7777,-0.3979,0.2509,2.673,-0.6761,0.5057,1.113,-12.81,1.753,-5.051,1.246,10.79,13,-21.28,-1.921,-1.732,4.48,2.761,1.767,2.21,-2.268,-0.1957,2.013,3.442
229.3,0.6817,-0.1049,0.2993,2.58,-0.4505,3.171,1.349,-12.64,1.919,-4.769,0.8424,10.89,3.436,-21.04,-2.154,-2.205,1.712,1.535,2.237,0.8241,-1.262,1.26,2.077,1.444
215.6,1.029,-0.543,0.07883,4.15,2.089,1.259,0.2194,-12.56,1.657,-4.505,0.8337,10.65,4.002,-20.56,-2.253,-0.8738,0.1602,1.323,1.11,3.101,0.708,2.114,3.425,2.767
228.1,0.9623,-0.5039,0.2302,2.06,-0.5372,0.609,2.756,-12.4,1.437,-4.512,0.9803,10.37,-4.471,-20.09,-2.35,-0.6938,1.971,1.675,-1.07,3.711,0.9509,2.935,3.803,1.654
232.7,0.884,-0.5546,0.222,3.42,-0.5769,1.657,-0.809,-12.68,1.127,-4.508,0.674,9.868,-3.041,-21.12,-1.922,-2.335,-4.795,-1.26,-3.165,0.1055,-0.8915,0.5748,3.059,3.163
237.8,0.7938,-0.425,0.3713,1.796,-2.251,1.117,-0.4741,-12.03,1.502,-4.668,0.6333,10.2,10.45,-21.08,-2.012,0.05174,1.064,0.6807,-2.992,-1.239,-2.659,1.153,2.705,4.026
245.4,0.6473,-0.1933,0.2107,2.637,-4.104,0.8736,-0.5505,-11.76,1.631,-4.756,0.1817,9.539,15.31,-20.66,-2.342,1.156,1.524,0.02165,-3.143,-2.103,-2.579,3.24,2.341,2.718
224.6,0.8785,-0.1933,0.4217,2.078,-1.217,1.298,-0.2336,-11.8,2.32,-4.058,0.3327,9.735,8.24,-20.24,-2.66,1.037,1.457,-0.08331,-2.11,3.236,-2.733,2.987,2.642,2.458
239.6,0.7832,-0.3553,0.4715,1.983,-0.9631,0.7413,0.4315,-11.69,1.955,-4.061,0.7092,8.505,-3.078,-20.83,-2.388,1.024,-0.883,2.543,-2.08,0.1846,-2.618,2.972,3.122,2.038
221.4,0.9054,-0.2105,0.4188,3.274,-2.222,0.03784,-1.327,-12.12,1.757,-4.066,0.5706,8.186,4.632,-20.52,-2.266,0.1244,0.8389,2.694,-3.06,-1.555,-2.238,3.36,3.047,4.412
219.5,0.8645,-0.2695,0.294,2.622,0.3391,1.464,0.6525,-12.9,1.634,-3.966,0.7873,8.083,6.668,-20.85,-2.083,1.125,2.186,2.613,-1.491,1.597,-2.24,3.015,2.463,2.034
227.2,0.8796,-0.4279,0.3427,3.959,2.784,1.835,-0.6287,-12.73,1.37,-3.357,1.219,8.216,-8.396,-20.32,-2.351,-0.4921,2.766,0.01843,-0.2497,2.082,-1.091,2.654,2.988,2.65
223.1,1.011,-0.3823,0.4768,4.928,-2.485,0.6675,1.293,-12.95,1.133,-3.576,1.219,8.497,-11.38,-20.68,-2.872,0.02454,1.807,1.032,0.8971,-0.3216,-0.2417,3.689,2.922,0.9998
214.2,1,-0.3593,0.275,3.775,-2.975,1.51,1.104,-13.29,1.308,-3.527,1.02,7.792,-13.78,-19.98,-2.816,-0.4352,2.282,1.467,0.01424,1.751,2.503,1.5,2.922,1.637
245.2,0.6209,-0.2328,0.4353,4.748,-1.283,0.9314,2.31,-12.78,1.039,-4.226,0.6445,7.439,-23.62,-19.18,-2.65,0.4503,1.836,1.309,3.055,2.104,2.262,2.48,3.724,1.459
219.9,0.9027,-0.1807,0.5044,4.529,-1.313,0.2607,1.179,-12.87,1.144,-3.861,0.3791,7.654,-14.68,-19.52,-2.628,0.5068,0.8186,1.711,3.547,2.839,1.807,0.4975,2.379,1.474
212.8,1.044,-0.3424,0.2275,4.965,-2.365,0.02457,1.633,-12.43,1.236,-3.963,0.5135,7.896,-12.7,-19.56,-3.01,0.6555,1.328,0.9272,2.632,2.065,1.909,1.339,2.076,0.779
232.2,0.7286,-0.3715,0.2129,4.015,-0.3927,3.69,1.006,-12.45,1.33,-4.264,0.2579,7.698,-15.55,-20.69,-3.137,1.431,1.566,1.405,1.396,-0.4382,0.3435,1.339,1.277,0.6678
225.2,1.139,-0.6036,0.255,2.424,0.8753,1.603,0.851,-12.58,0.9259,-4.425,0.241,7.53,-6.305,-21.54,-3.158,0.9547,0.4154,1.309,1.3,0.6114,0.9399,2.151,1.864,0.8449
217.1,1.039,-0.6036,0.1156,4.929,1.508,2.187,3.204,-12.99,0.8305,-5.014,0.4492,7.338,-6.186,-20.19,-3.684,1.252,1.11,1.184,2.589,1.725,0.4689,4.084,2.082,3.16
220.7,0.8775,-0.1131,0.4454,4.79,-3.117,1.518,2.566,-12.2,1.264,-5.127,0.4058,6.953,-0.8458,-20.6,-3.947,1.793,3.008,1.618,0.6991,3.04,2.329,3.042,2.936,2.002
232.6,0.5991,-0.0957,-0.03607,2.587,-1.789,4.639,2.433,-12.32,1.334,-4.867,0.6426,6.744,-3.666,-19.76,-3.245,0.4594,4.136,0.8286,0.3764,2.841,1.079,6.268,2.948,1.982
221.1,0.8399,-0.2874,0.2607,3.676,0.328,2.616,1.271,-11.9,1.376,-4.771,0.6601,6.703,16.89,-18.35,-3.347,-0.7501,3.136,0.5034,0.6646,1.528,2.391,5.73,2.831,2.056
217.3,1.061,-0.686,0.06621,4.532,-1.761,3.658,2.878,-11.41,1.308,-4.486,0.577,6.12,16.87,-18.35,-3.174,-1.199,-5.09,2.703,5.12,-4.818,0.3507,7.05,3.212,3.469
